appid,name_x,label_dead,label_dead_binary,avg_players_median_6m,months_used,min_months_required,min_months_ok,first_month_in_window,last_month,name_y,type,is_free,required_age,release_date,coming_soon,developers,publishers,categories,genres,tags,windows,mac,linux,initial_price,final_price,discount_percent,metacritic_score,recommendations_total,achievements_total,supported_languages,pc_min_requirements,controller_support,has_dlc,dlc_count,crawl_timestamp,crawl_status
40,Deathmatch Classic,Dead,1,3.8,6,3,True,2025-02-01,2025-07-01,Deathmatch Classic,game,False,0.0,"1 Jun, 2001",False,Valve,Valve,Action,Action,"Action, FPS, Classic, Multiplayer, Shooter, First-Person, Arena Shooter, Old School, Sci-fi, Competitive, Fast-Paced, Retro, Gore, 1990's, Co-op, Difficult, PvP, Singleplayer",True,True,True,₪18.50,₪18.50,0.0,,1231.0,0.0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese","Minimum:500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet ConnectionRecommended:800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:27:36.052407,success
60,Ricochet,Dead,1,4.62,6,3,True,2025-02-01,2025-07-01,Ricochet,game,False,0.0,"1 Nov, 2000",False,Valve,Valve,Action,Action,"Action, FPS, Multiplayer, Classic, First-Person, Sci-fi, Shooter, Space, Cyberpunk, Psychological Horror, 3D, Memes, Retro, Platformer, Old School, Conspiracy, Cult Classic, Competitive, Sports, Great Soundtrack",True,True,True,₪18.50,₪18.50,0.0,,20.0,0.0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese","Minimum:500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet ConnectionRecommended:800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:27:41.749133,success
100,Counter-Strike: Condition Zero Deleted Scenes,Dead,1,47.195,6,3,True,2025-02-01,2025-07-01,Counter-Strike: Condition Zero,game,False,0.0,"1 Mar, 2004",False,Valve,Valve,Action,Action,"Action, FPS, Shooter, Multiplayer, First-Person, Singleplayer, Classic, Tactical, Team-Based, Competitive, Military, Online Co-Op, Strategy, Adventure, Survival, Atmospheric, Old School, Open World, Dark, Violent",True,True,False,₪36.95,₪36.95,0.0,65.0,135.0,0.0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean","Minimum:500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet ConnectionRecommended:800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:27:58.974627,success
130,Half-Life: Blue Shift,Dead,1,41.365,6,3,True,2025-02-01,2025-07-01,Half-Life: Blue Shift,game,False,0.0,"1 Jun, 2001",False,Gearbox Software,Valve,Action,Action,"FPS, Action, Sci-fi, Singleplayer, Shooter, Aliens, Classic, First-Person, Zombies, Adventure, 1990's, Short, Atmospheric, Silent Protagonist, Story Rich, Puzzle, Moddable, Retro, Great Soundtrack, Violent",True,True,True,₪18.50,₪18.50,0.0,71.0,196.0,0.0,"English, French, German","Minimum:500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet ConnectionRecommended:800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:28:02.418671,success
280,Half-Life: Source,Dead,1,22.71,6,3,True,2025-02-01,2025-07-01,Half-Life: Source,game,False,0.0,"1 Jun, 2004",False,Valve,Valve,Action,Action,"FPS, Action, Classic, Sci-fi, Singleplayer, First-Person, Shooter, Aliens, 1990's, Zombies, Story Rich, Adventure, Remake, Atmospheric, Silent Protagonist, Multiplayer, Horror, Great Soundtrack, Moddable, Gore",True,True,True,₪36.95,₪36.95,0.0,,90.0,0.0,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean","Minimum:1.2 GHz Processor, 256MB RAM, DirectX 7 level graphics card, Windows XP, Mouse, Keyboard, Internet ConnectionRecommended:2.4 GHz Processor, 512MB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:28:43.123325,success
340,Half-Life 2: Lost Coast,Dead,1,3.37,6,3,True,2025-02-01,2025-07-01,Half-Life 2: Lost Coast,game,False,0.0,"27 Oct, 2005",False,Valve,Valve,Action,Action,"FPS, Action, Singleplayer, First-Person, Sci-fi, Shooter, Short, Aliens, Dystopian, Classic, Adventure, Atmospheric, Benchmark, Futuristic, Silent Protagonist, Free to Play, Post-apocalyptic, Story Rich, Multiplayer, Great Soundtrack",True,False,True,₪73.95,₪73.95,0.0,,11.0,0.0,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean","Minimum:Pentium 4 2.4GHz or AMD 2800+ Processor, 1GB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:28:59.755215,success
360,Half-Life Deathmatch: Source,Dead,1,34.325,6,3,True,2025-02-01,2025-07-01,Half-Life Deathmatch: Source,game,False,0.0,"1 May, 2006",False,Valve,Valve,Action,Action,"Action, FPS, Multiplayer, Shooter, Sci-fi, First-Person, Classic, Remake, Violent, Adventure, Competitive, Fast-Paced, Singleplayer, Atmospheric, Horror, Gore, Retro, Arena Shooter, Great Soundtrack",True,False,True,₪36.95,₪36.95,0.0,,42.0,0.0,English,"Minimum:OS *:Windows® 7 (32/64-bit)/Vista/XPProcessor:1.7 GHz Processor, requires support for SSEMemory:1024 MB RAMDirectX:Version 8.1Network:Broadband Internet connectionStorage:4 GB available space*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",,False,0.0,2025-08-24T19:29:03.187603,success
380,Half-Life 2: Episode One,Dead,1,15.655,6,3,True,2025-02-01,2025-07-01,Half-Life 2: Episode One,game,False,0.0,"1 Jun, 2006",False,Valve,Valve,Action,Action,"FPS, Action, Sci-fi, Singleplayer, Story Rich, First-Person, Shooter, Classic, Dystopian, Aliens, Zombies, Adventure, Episodic, Atmospheric, Silent Protagonist, Great Soundtrack, Short, Puzzle, Cinematic, Moddable",True,False,True,₪73.95,₪73.95,0.0,87.0,24.0,13.0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai","Minimum:1.7 GHz Processor, 512MB RAM, DirectX® 8.1 level Graphics Card (Requires support for SSE), Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet ConnectionRecommended:Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX® 9 level Graphics Card, Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.","Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support",True,1.0,2025-08-24T19:29:09.492926,success
410,Portal: First Slice,Dead,1,9.455,6,3,True,2025-02-01,2025-07-01,Portal,game,False,0.0,"10 Oct, 2007",False,Valve,Valve,Action,Action,"Puzzle, Puzzle Platformer, First-Person, 3D Platformer, Singleplayer, Sci-fi, Comedy, Female Protagonist, Physics, Funny, Action, Classic, Story Rich, Platformer, Science, Atmospheric, Dark Humor, Short, FPS, Adventure",True,True,True,₪36.95,₪36.95,0.0,90.0,1491.0,15.0,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian","Minimum:1.7 GHz Processor, 512MB RAM, DirectX® 8.1 level Graphics Card (Requires support for SSE), Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet ConnectionRecommended:Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX® 9 level Graphics Card, Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.","Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support",True,2.0,2025-08-24T19:29:15.869907,success
420,Half-Life 2: Episode Two,Dead,1,21.305,6,3,True,2025-02-01,2025-07-01,Half-Life 2: Episode Two,game,False,0.0,"10 Oct, 2007",False,Valve,Valve,Action,Action,"FPS, Action, Sci-fi, Singleplayer, Shooter, Story Rich, First-Person, Classic, Adventure, Aliens, Atmospheric, Zombies, Silent Protagonist, Great Soundtrack, Dystopian, Post-apocalyptic, Episodic, Puzzle, Horror, Multiplayer",True,False,True,₪73.95,₪73.95,0.0,90.0,24.0,23.0,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese","Minimum:1.7 GHz Processor, 512MB RAM, DirectX® 8.1 level Graphics Card (Requires support for SSE), Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet ConnectionRecommended:Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX® 9 level Graphics Card, Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.","Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support, Steam Input API Support",True,1.0,2025-08-24T19:29:19.131924,success
